task_index,task_id,task_type,submitted_at,completed_at,campaign_elapsed_sec,winner,status,latency_ms,reassignments,proposals_json,refusals_json,result_pid,result_host,idempotency_replayed
110,cnp_endurance_multivm_20260918T124034Z-task-0000110,detect.synthetic,2026-09-18T12:45:27.514868+00:00,2026-09-18T12:45:27.557357+00:00,22.031,ubuntu-beta,ok,42.665,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.956513}",{},3690,andy-VirtualBox,False
111,cnp_endurance_multivm_20260918T124034Z-task-0000111,correlate.synthetic,2026-09-18T12:45:27.727653+00:00,2026-09-18T12:45:27.766904+00:00,22.25,ubuntu-beta,ok,39.132,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.938554}",{},3690,andy-VirtualBox,False
112,cnp_endurance_multivm_20260918T124034Z-task-0000112,parse.synthetic,2026-09-18T12:45:27.926800+00:00,2026-09-18T12:45:27.979795+00:00,22.453,ubuntu-beta,ok,53.394,0,"{""debian-alpha"": 0.850677, ""ubuntu-beta"": 0.926726}",{},3690,andy-VirtualBox,False
113,cnp_endurance_multivm_20260918T124034Z-task-0000113,route.synthetic,2026-09-18T12:45:28.127754+00:00,2026-09-18T12:45:28.176311+00:00,22.656,ubuntu-beta,ok,48.93,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.980742}",{},3690,andy-VirtualBox,False
114,cnp_endurance_multivm_20260918T124034Z-task-0000114,detect.synthetic,2026-09-18T12:45:28.328526+00:00,2026-09-18T12:45:28.371908+00:00,22.844,ubuntu-beta,ok,43.759,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.956743}",{},3690,andy-VirtualBox,False
115,cnp_endurance_multivm_20260918T124034Z-task-0000115,correlate.synthetic,2026-09-18T12:45:28.528174+00:00,2026-09-18T12:45:28.574193+00:00,23.047,ubuntu-beta,ok,46.185,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.938784}",{},3690,andy-VirtualBox,False
116,cnp_endurance_multivm_20260918T124034Z-task-0000116,parse.synthetic,2026-09-18T12:45:28.728229+00:00,2026-09-18T12:45:28.765378+00:00,23.25,ubuntu-beta,ok,37.11,0,"{""debian-alpha"": 0.850677, ""ubuntu-beta"": 0.926942}",{},3690,andy-VirtualBox,False
117,cnp_endurance_multivm_20260918T124034Z-task-0000117,route.synthetic,2026-09-18T12:45:28.926274+00:00,2026-09-18T12:45:28.963862+00:00,23.438,ubuntu-beta,ok,37.341,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.98096}",{},3690,andy-VirtualBox,False
118,cnp_endurance_multivm_20260918T124034Z-task-0000118,detect.synthetic,2026-09-18T12:45:29.126816+00:00,2026-09-18T12:45:29.167909+00:00,23.641,ubuntu-beta,ok,41.117,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.956959}",{},3690,andy-VirtualBox,False
119,cnp_endurance_multivm_20260918T124034Z-task-0000119,correlate.synthetic,2026-09-18T12:45:29.327989+00:00,2026-09-18T12:45:29.375981+00:00,23.86,ubuntu-beta,ok,48.337,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.938998}",{},3690,andy-VirtualBox,False
120,cnp_endurance_multivm_20260918T124034Z-task-0000120,parse.synthetic,2026-09-18T12:45:29.517189+00:00,2026-09-18T12:45:29.558571+00:00,24.031,ubuntu-beta,ok,41.409,0,"{""debian-alpha"": 0.850677, ""ubuntu-beta"": 0.927148}",{},3690,andy-VirtualBox,False
