run_id,seed,feature,n,prevalence,precision,recall,f1,pr_auc,mcc,fpr,tp,fp,tn,fn,predicted_positive,coefficient
final_csecic_lr_forensic_20260910T235954Z,43,Bwd IAT Min,20000,0.5,0.0,0.0,0.0,0.48047959093073345,0.0,0.0,0,0,10000,10000,0,1.4540514281008117
final_csecic_lr_forensic_20260910T235954Z,43,Fwd PSH Flags,20000,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0,0,10000,10000,0,0.09547681248428184
final_csecic_lr_forensic_20260910T235954Z,43,Bwd PSH Flags,20000,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0,0,10000,10000,0,0.0
final_csecic_lr_forensic_20260910T235954Z,43,Fwd URG Flags,20000,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0,0,10000,10000,0,0.0
final_csecic_lr_forensic_20260910T235954Z,43,Bwd URG Flags,20000,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0,0,10000,10000,0,0.0
final_csecic_lr_forensic_20260910T235954Z,43,Fwd Header Len,20000,0.5,0.01999406116994952,0.0202,0.02009650300950107,0.4040554531709309,-0.9699514524394781,0.9901,202,9901,99,9798,10103,0.8880622591198248
final_csecic_lr_forensic_20260910T235954Z,43,Bwd Header Len,20000,0.5,0.9915219189412737,0.959,0.9749898332655551,0.9745592620960344,0.9513118673886066,0.0082,9590,82,9918,410,9672,-0.36736067707881137
final_csecic_lr_forensic_20260910T235954Z,43,Fwd Pkts/s,20000,0.5,0.43336355394378967,0.7648,0.5532407407407407,0.3108847483208918,-0.3650655997384863,1.0,7648,10000,0,2352,17648,-0.3204600077310672
final_csecic_lr_forensic_20260910T235954Z,43,Bwd Pkts/s,20000,0.5,1.0,0.2289,0.37252827732118154,0.6298651613934179,0.3595020364183243,0.0,2289,0,10000,7711,2289,0.07569300289518396
final_csecic_lr_forensic_20260910T235954Z,43,Pkt Len Min,20000,0.5,0.5,1.0,0.6666666666666666,0.5,0.0,1.0,10000,10000,0,0,20000,-3.8460295150702604
final_csecic_lr_forensic_20260910T235954Z,43,Pkt Len Max,20000,0.5,0.03976335951896033,0.041,0.04037221210181675,0.4811302977402774,-0.9495593227285211,0.9901,410,9901,99,9590,10311,0.3426736796714256
final_csecic_lr_forensic_20260910T235954Z,43,Pkt Len Mean,20000,0.5,0.03976335951896033,0.041,0.04037221210181675,0.4830663048427398,-0.9495593227285211,0.9901,410,9901,99,9590,10311,0.13662563313684184
final_csecic_lr_forensic_20260910T235954Z,43,Pkt Len Std,20000,0.5,0.03976335951896033,0.041,0.04037221210181675,0.5011244906121018,-0.9495593227285211,0.9901,410,9901,99,9590,10311,0.4491000061299012
final_csecic_lr_forensic_20260910T235954Z,43,Pkt Len Var,20000,0.5,0.03976335951896033,0.041,0.04037221210181675,0.5011244906121018,-0.9495593227285211,0.9901,410,9901,99,9590,10311,0.3841539693910218
final_csecic_lr_forensic_20260910T235954Z,43,FIN Flag Cnt,20000,0.5,0.4992488733099649,0.997,0.665331998665332,0.499251126690035,-0.03875891355636926,1.0,9970,10000,0,30,19970,-0.053407212531528324
final_csecic_lr_forensic_20260910T235954Z,43,SYN Flag Cnt,20000,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0,0,10000,10000,0,0.09547681248428184
final_csecic_lr_forensic_20260910T235954Z,43,RST Flag Cnt,20000,0.5,0.5,1.0,0.6666666666666666,0.5,0.0,1.0,10000,10000,0,0,20000,-1.2850149461774398
final_csecic_lr_forensic_20260910T235954Z,43,PSH Flag Cnt,20000,0.5,0.9988009592326139,0.2499,0.3997760358342665,0.6246503597122303,0.37723043310714194,0.0003,2499,3,9997,7501,2502,0.6193663576951951
final_csecic_lr_forensic_20260910T235954Z,43,ACK Flag Cnt,20000,0.5,0.4277453337913661,0.7471,0.5440180586907449,0.4460185388755296,-0.3793930032512669,0.9995,7471,9995,5,2529,17466,0.14151181550268427
final_csecic_lr_forensic_20260910T235954Z,43,URG Flag Cnt,20000,0.5,0.5049281314168378,0.9836,0.6672998643147897,0.5048473100616017,0.06032607651603633,0.9644,9836,9644,356,164,19480,-0.4387006625616974
final_csecic_lr_forensic_20260910T235954Z,43,CWE Flag Count,20000,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0,0,10000,10000,0,0.0
final_csecic_lr_forensic_20260910T235954Z,43,ECE Flag Cnt,20000,0.5,0.5,1.0,0.6666666666666666,0.5,0.0,1.0,10000,10000,0,0,20000,-1.2850149461774398
final_csecic_lr_forensic_20260910T235954Z,43,Down/Up Ratio,20000,0.5,0.44356891744453875,0.7318,0.5523435730998566,0.45908026808194236,-0.24496608201012354,0.918,7318,9180,820,2682,16498,-0.4671963079236417
final_csecic_lr_forensic_20260910T235954Z,43,Pkt Size Avg,20000,0.5,0.03976335951896033,0.041,0.04037221210181675,0.4840205056786184,-0.9495593227285211,0.9901,410,9901,99,9590,10311,0.10142072245949013
final_csecic_lr_forensic_20260910T235954Z,43,Fwd Seg Size Avg,20000,0.5,0.03939070534588144,0.0406,0.03998621165115478,0.48033289684334307,-0.949947763661951,0.9901,406,9901,99,9594,10307,0.6960319151318748
