replicate,resampling_unit,n,prevalence,precision,recall,f1,pr_auc,mcc,fpr,tp,fp,tn,fn,predicted_positive,threshold
89,block_id,2000,0.0155,0.8611111111111112,1.0,0.9253731343283582,0.9087961023444895,0.9267817649964993,0.0025393600812595226,31,5,1964,0,36,1.2729429339548877
90,block_id,2000,0.0155,0.7380952380952381,1.0,0.8493150684931506,0.821599922745933,0.856721542282501,0.00558659217877095,31,11,1958,0,42,1.2729429339548877
91,block_id,2000,0.016,0.9142857142857143,1.0,0.9552238805970149,0.9411520337301587,0.955453811579983,0.001524390243902439,32,3,1965,0,35,1.2729429339548877
92,block_id,2000,0.012,0.8275862068965517,1.0,0.9056603773584906,0.8851711838193637,0.9085659647177378,0.0025303643724696357,24,5,1971,0,29,1.2729429339548877
93,block_id,2000,0.0155,0.7948717948717948,1.0,0.8857142857142857,0.8295582047685834,0.8897427997701406,0.004062976130015236,31,8,1961,0,39,1.2729429339548877
94,block_id,2000,0.0125,0.6756756756756757,1.0,0.8064516129032258,0.685706669236081,0.8194939319370809,0.0060759493670886075,25,12,1963,0,37,1.2729429339548877
95,block_id,2000,0.02,0.851063829787234,1.0,0.9195402298850575,0.855532514007245,0.9208823573667934,0.0035714285714285713,40,7,1953,0,47,1.2729429339548877
96,block_id,2000,0.018,0.75,1.0,0.8571428571428571,0.8206479220368109,0.8633756513099898,0.006109979633401222,36,12,1952,0,48,1.2729429339548877
97,block_id,2000,0.017,0.85,1.0,0.918918918918919,0.851545407636739,0.9205465226185954,0.003051881993896236,34,6,1960,0,40,1.2729429339548877
98,block_id,2000,0.0135,0.7105263157894737,1.0,0.8307692307692308,0.7933159094486326,0.840574174307898,0.005575266092245312,27,11,1962,0,38,1.2729429339548877
99,block_id,2000,0.0095,0.7307692307692307,1.0,0.8444444444444444,0.7162955465587044,0.8533387412621971,0.0035335689045936395,19,7,1974,0,26,1.2729429339548877
100,block_id,2000,0.016,0.7441860465116279,1.0,0.8533333333333334,0.8266398664883612,0.8602479119603501,0.005589430894308943,32,11,1957,0,43,1.2729429339548877
101,block_id,2000,0.011,0.7857142857142857,1.0,0.88,0.8612554112554112,0.8850598431175017,0.003033367037411527,22,6,1972,0,28,1.2729429339548877
102,block_id,2000,0.0155,0.8378378378378378,1.0,0.9117647058823529,0.8860245488150948,0.9139391399244639,0.0030472320975114273,31,6,1963,0,37,1.2729429339548877
103,block_id,2000,0.0145,0.8285714285714286,1.0,0.90625,0.8677430252747858,0.9088724559131685,0.0030441400304414,29,6,1965,0,35,1.2729429339548877
104,block_id,2000,0.019,0.8444444444444444,1.0,0.9156626506024096,0.8776808622346381,0.917295833258274,0.003567787971457696,38,7,1955,0,45,1.2729429339548877
105,block_id,2000,0.016,0.8205128205128205,1.0,0.9014084507042254,0.9229607198357198,0.9042092289893151,0.003556910569105691,32,7,1961,0,39,1.2729429339548877
106,block_id,2000,0.014,0.7777777777777778,1.0,0.875,0.8159523809523809,0.8801264072138905,0.004056795131845842,28,8,1964,0,36,1.2729429339548877
107,block_id,2000,0.0135,0.8709677419354839,1.0,0.9310344827586207,0.8836836926809962,0.932310017381758,0.0020273694880892043,27,4,1969,0,31,1.2729429339548877
108,block_id,2000,0.0165,0.7333333333333333,1.0,0.8461538461538461,0.8241511014238287,0.8537326954828329,0.006100660904931368,33,12,1955,0,45,1.2729429339548877
109,block_id,2000,0.0155,0.8611111111111112,1.0,0.9253731343283582,0.9245490172909527,0.9267817649964993,0.0025393600812595226,31,5,1964,0,36,1.2729429339548877
110,block_id,2000,0.017,0.8292682926829268,1.0,0.9066666666666666,0.8679257198712499,0.9090190640926923,0.003560528992878942,34,7,1959,0,41,1.2729429339548877
111,block_id,2000,0.014,0.9655172413793104,1.0,0.9824561403508771,0.9719292458362655,0.9823581974889519,0.0005070993914807302,28,1,1971,0,29,1.2729429339548877
112,block_id,2000,0.015,0.7692307692307693,1.0,0.8695652173913043,0.8417327117327118,0.87505229385766,0.004568527918781726,30,9,1961,0,39,1.2729429339548877
