replicate,resampling_unit,n,prevalence,precision,recall,f1,pr_auc,mcc,fpr,tp,fp,tn,fn,predicted_positive,threshold
155,block_id,2000,0.014,0.7777777777777778,1.0,0.875,0.7430618212197159,0.8801264072138905,0.004056795131845842,28,8,1964,0,36,1.2729429339548877
156,block_id,2000,0.013,0.7878787878787878,1.0,0.8813559322033898,0.8308361959677748,0.8860501630652016,0.0035460992907801418,26,7,1967,0,33,1.2729429339548877
157,block_id,2000,0.011,0.7586206896551724,1.0,0.8627450980392157,0.8516751033031592,0.8694457921547635,0.003538928210313448,22,7,1971,0,29,1.2729429339548877
158,block_id,2000,0.0175,0.8536585365853658,1.0,0.9210526315789473,0.8407831425253028,0.9225247669488121,0.0030534351145038168,35,6,1959,0,41,1.2729429339548877
159,block_id,2000,0.006,0.5714285714285714,1.0,0.7272727272727273,0.8890977443609023,0.7542158982383655,0.004527162977867203,12,9,1979,0,21,1.2729429339548877
160,block_id,2000,0.0175,0.8536585365853658,1.0,0.9210526315789473,0.8817346147234714,0.9225247669488121,0.0030534351145038168,35,6,1959,0,41,1.2729429339548877
161,block_id,2000,0.0115,0.7931034482758621,1.0,0.8846153846153846,0.8656588372480426,0.8892111433948315,0.0030349013657056147,23,6,1971,0,29,1.2729429339548877
162,block_id,2000,0.0115,0.7419354838709677,1.0,0.8518518518518519,0.7466631603553062,0.8596122473844126,0.004046535154274153,23,8,1969,0,31,1.2729429339548877
163,block_id,2000,0.0115,0.7931034482758621,1.0,0.8846153846153846,0.8463589633754551,0.8892111433948315,0.0030349013657056147,23,6,1971,0,29,1.2729429339548877
164,block_id,2000,0.012,0.7058823529411765,1.0,0.8275862068965517,0.7628942881500426,0.8380394225972319,0.005060728744939271,24,10,1966,0,34,1.2729429339548877
165,block_id,2000,0.017,0.7083333333333334,1.0,0.8292682926829268,0.7976627131038896,0.8386234259746275,0.007121057985757884,34,14,1952,0,48,1.2729429339548877
